City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Sarangani,PH,79.99,moderate rain,5.4033,125.4636,Ballistic Islet
493,West Bay,KY,83.07,few clouds,19.3667,-81.4167,Calypso Cove
495,Luancheng,CN,78.96,scattered clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
497,Lakatoro,VU,80.67,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
500,Lompoc,US,75.02,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
503,Nargana,PA,80.82,scattered clouds,9.4428,-78.5906,Dubbir
504,Muli,MV,83.16,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
506,Tecoanapa,MX,84.45,overcast clouds,16.5167,-98.75,Hotel Manglares
510,Lamar,US,80.26,clear sky,33.6668,-95.5836,Kings Inn Paris TX
514,Ixtapa,MX,82.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
515,Virginia Beach,US,81.01,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
517,Suibara,JP,76.86,clear sky,37.8333,139.2333,阿賀野市 リズム・ハウス瓢湖
521,Tezonapa,MX,81.21,overcast clouds,18.6092,-96.6917,Hotel La Estancia
522,Pozo Colorado,PY,80.92,moderate rain,-23.4923,-58.7972,Hospedaje la Amistad
525,Gizo,SB,83.17,light rain,-8.103,156.8419,Imagination Island
527,Kieta,PG,86.32,clear sky,-6.2167,155.6333,Uruna Bay Retreat
530,Tual,ID,80.8,few clouds,-5.6667,132.75,Grand Vilia Hotel
531,Phalodi,IN,88.48,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
533,Tamiahua,MX,82.11,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
535,Sabanalarga,CO,83.07,overcast clouds,10.6296,-74.9206,Hotel Miraflores
538,Kavaratti,IN,82.83,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
539,Wuda,CN,81.3,light rain,39.4994,106.7117,Grape Sightseeing Garden
542,Labrea,BR,80.42,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
544,Ormara,PK,83.73,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
545,Samarai,PG,79.2,overcast clouds,-10.6167,150.6667,Nuli Sapi
548,Tomohon,ID,81.54,broken clouds,1.3346,124.8392,Gardenia Country Inn
549,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
550,Kerema,PG,81.01,broken clouds,-7.9631,145.7785,Frena Lodge
551,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
554,Sao Jose Da Coroa Grande,BR,75.96,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
556,Kailua,US,85.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
557,Yanam,IN,84.6,overcast clouds,16.7333,82.2167,The Regency Hotel
558,Pyay,MM,86.52,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
559,Pokaran,IN,87.21,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
561,Nouakchott,MR,82.33,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
562,Coahuayana,MX,85.19,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
573,Ipixuna,BR,76.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
574,Nabire,ID,84.51,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
577,Tongchuan,CN,83.25,scattered clouds,35.0806,109.0897,Tongchuan Hotel
581,Norsup,VU,80.96,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
582,Mayumba,GA,76.08,broken clouds,-3.432,10.6554,LIKWALE LODGE
585,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
590,Muncar,ID,82.04,few clouds,-8.4333,114.3333,Zaky Homestay
591,Marion,US,79.29,few clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
592,Dosso,NE,85.69,scattered clouds,13.049,3.1937,Hotel Toubal
596,Port Keats,AU,78.75,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
599,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Casa de Isabella
601,Nong Bua,TH,83.82,overcast clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
603,Neyshabur,IR,79.38,clear sky,36.2133,58.7958,Amiran Hotel
605,Bafq,IR,85.66,clear sky,31.6128,55.4107,Alamdar Hotel
606,Abu Zabad,SD,84.43,overcast clouds,12.35,29.25,حامد محمد نور
611,Keti Bandar,PK,84.63,overcast clouds,24.1447,67.4497,Haji laloo memon house
613,Ishigaki,JP,80.73,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
615,Goderich,CA,77.32,clear sky,43.7501,-81.7165,Harmony Inn
617,Juchipila,MX,84.15,scattered clouds,21.4167,-103.1167,HOTEL JARDIN
624,Lazaro Cardenas,MX,84.69,scattered clouds,17.9583,-102.2,quinta antigua
627,Vinh,VN,79.86,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
629,Miramar,US,82.42,few clouds,25.9873,-80.2323,Miramar
631,Kokopo,PG,85.59,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
632,Danjiangkou,CN,85.39,clear sky,32.5428,111.5086,Dongsheng Guesthouse
638,Atambua,ID,80.24,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
642,Puerto Escondido,MX,83.73,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
650,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
651,Sinnamary,GF,78.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
652,Mangan,IN,76.14,overcast clouds,27.5167,88.5333,Hotel Mout View
654,Sibu,MY,80.91,few clouds,2.3,111.8167,RH HOTEL (4 Star)
655,Sibolga,ID,78.24,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
656,San Ramon De La Nueva Oran,AR,75.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
657,Arlit,NE,88.48,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
659,Manga,BF,83.57,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
661,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
664,Ratnagiri,IN,80.58,light rain,16.9833,73.3,Hotel Landmark
671,Wajir,KE,77.09,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
675,Duluth,US,83.46,clear sky,46.7833,-92.1066,South Pier Inn
678,Poso,ID,85.15,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
679,Bhuj,IN,82.09,clear sky,23.2667,69.6667,Regenta Resort Bhuj
685,Lahat,ID,77.88,clear sky,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
690,Kendari,ID,82.44,scattered clouds,-3.945,122.4989,Hotel Wixel
691,Fort Abbas,PK,88.48,scattered clouds,29.1925,72.8536,AsAd's House
692,Sayville,US,88.18,broken clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
693,Eravur,LK,78.78,overcast clouds,7.7733,81.6095,Farhan KING House
694,Wuning,CN,76.21,overcast clouds,29.2589,120.2311,Fu Du Hotel
696,Rantepao,ID,76.17,broken clouds,-2.9701,119.8978,Hotel Luta Resort
701,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Ecotur Lodge
