City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Davila,18.4726,120.5763,83.23,80,93,10.65,PH,2021-06-01 16:07:04
101,Dingle,10.9995,122.6711,76.41,95,100,3.13,PH,2021-06-01 16:07:04
102,Skovorodino,53.9833,123.9167,48.63,90,94,3.74,RU,2021-06-01 16:07:05
103,Vaini,-21.2,-175.2,71.6,81,100,14.94,TO,2021-06-01 16:04:46
104,Coquimbo,-29.9533,-71.3436,64.13,67,0,11.41,CL,2021-06-01 16:07:05
105,Jamestown,42.097,-79.2353,69.08,45,1,8.05,US,2021-06-01 16:04:33
106,El Zapote,21.0667,-102.8,78.13,29,75,2.1,MX,2021-06-01 16:07:06
107,Cayenne,4.9333,-52.3333,80.1,87,75,2.53,GF,2021-06-01 16:06:45
108,Timmins,48.4669,-81.3331,67.91,41,10,6.62,CA,2021-06-01 16:02:32
109,Mehamn,71.0357,27.8492,46.58,93,75,17.27,NO,2021-06-01 16:07:06
110,Binga,-17.6203,27.3414,69.66,53,0,3.02,ZW,2021-06-01 16:07:07
111,Longyearbyen,78.2186,15.6401,35.44,93,90,10.36,SJ,2021-06-01 16:05:11
112,Fallon,39.4735,-118.7774,79.92,21,40,3.44,US,2021-06-01 16:05:45
113,Dezful,32.3811,48.4058,103.82,5,0,10.54,IR,2021-06-01 16:07:07
114,Vestmannaeyjar,63.4427,-20.2734,49.19,71,40,18.41,IS,2021-06-01 16:05:17
115,Poya,-21.35,165.15,65.7,74,45,5.21,NC,2021-06-01 16:07:08
116,Keningau,5.3378,116.1602,75.65,98,100,1.97,MY,2021-06-01 16:07:09
117,Olafsvik,64.8945,-23.7142,45.97,76,81,16.49,IS,2021-06-01 16:07:09
118,Saint George,37.1041,-113.5841,90.07,15,1,1.01,US,2021-06-01 16:05:23
119,Dadu,26.7329,67.7763,102.83,30,2,15.84,PK,2021-06-01 16:07:09
120,Padang,-0.9492,100.3543,78.91,85,67,3.02,ID,2021-06-01 16:06:18
121,Flinders,-34.5833,150.8552,54.05,77,99,1.01,AU,2021-06-01 16:05:06
122,Cidreira,-30.1811,-50.2056,65.84,47,6,4.43,BR,2021-06-01 16:05:17
123,San Rafael,-34.6177,-68.3301,67.35,37,100,6.85,AR,2021-06-01 16:07:10
124,Ponta Do Sol,32.6667,-17.1,71.01,73,62,3.44,PT,2021-06-01 16:05:39
125,El Alto,-4.2714,-81.2147,71.26,63,49,13.98,PE,2021-06-01 16:07:11
126,Kpalime,6.9,0.6333,87.8,52,90,4.76,TG,2021-06-01 16:07:11
127,Talcahuano,-36.7167,-73.1167,60.48,100,90,9.22,CL,2021-06-01 16:07:12
128,Maltahohe,-24.8333,16.9833,56.73,28,0,12.12,NA,2021-06-01 16:07:12
129,Bundaberg,-24.85,152.35,64.22,95,4,3.0,AU,2021-06-01 16:07:12
130,Khatanga,71.9667,102.5,34.75,86,100,13.76,RU,2021-06-01 16:05:17
131,San Cristobal,7.7669,-72.225,78.98,83,98,4.7,VE,2021-06-01 16:07:13
132,Meulaboh,4.1363,96.1285,78.64,87,100,2.17,ID,2021-06-01 16:07:13
133,Smithers,54.7804,-127.1743,58.69,86,100,3.44,CA,2021-06-01 16:07:14
134,Dikson,73.5069,80.5464,32.2,98,100,10.45,RU,2021-06-01 16:04:47
135,Panjab,34.388,67.0233,58.75,24,1,14.05,AF,2021-06-01 16:07:14
136,Taltal,-25.4,-70.4833,68.11,62,9,3.67,CL,2021-06-01 16:01:34
137,Sangar,63.9242,127.4739,47.8,64,4,4.52,RU,2021-06-01 16:07:15
138,Lethem,3.3803,-59.7968,77.07,89,100,5.14,GY,2021-06-01 16:07:15
139,Ixtapa,20.7,-105.2,87.03,51,75,4.61,MX,2021-06-01 16:07:15
140,Belmonte,-15.8631,-38.8828,82.9,64,80,6.82,BR,2021-06-01 16:07:16
141,Bahraich,27.5833,81.6,85.42,37,0,2.13,IN,2021-06-01 16:02:48
142,Thinadhoo,0.5333,72.9333,84.09,69,100,15.43,MV,2021-06-01 16:06:21
143,Okhotsk,59.3833,143.3,36.37,96,100,3.94,RU,2021-06-01 16:07:16
144,Ukiah,39.1502,-123.2078,94.03,44,1,4.61,US,2021-06-01 16:06:33
145,The Valley,18.217,-63.0578,85.1,65,40,16.11,AI,2021-06-01 16:06:43
146,Nikolskoye,59.7035,30.7861,64.4,54,98,5.46,RU,2021-06-01 16:04:52
147,Hasaki,35.7333,140.8333,60.19,79,53,7.38,JP,2021-06-01 16:05:06
148,Batemans Bay,-35.7167,150.1833,50.92,61,100,3.33,AU,2021-06-01 16:00:23
149,Chokurdakh,70.6333,147.9167,54.16,50,8,7.34,RU,2021-06-01 16:04:39
150,Narsaq,60.9167,-46.05,57.42,46,33,5.23,GL,2021-06-01 16:07:17
151,Constitucion,-35.3333,-72.4167,58.33,98,100,5.84,CL,2021-06-01 16:04:46
152,Geraldton,-28.7667,114.6,55.81,88,0,8.81,AU,2021-06-01 16:07:18
153,Cam Ranh,11.9214,109.1591,84.16,74,20,4.27,VN,2021-06-01 16:07:18
154,Luderitz,-26.6481,15.1594,68.4,37,0,18.41,NA,2021-06-01 16:04:49
155,New Norfolk,-42.7826,147.0587,54.72,71,78,3.06,AU,2021-06-01 16:05:08
156,Barmer,25.75,71.3833,95.7,32,0,19.08,IN,2021-06-01 16:07:19
157,Gushikawa,26.3544,127.8686,76.23,94,75,13.8,JP,2021-06-01 16:07:19
158,Kiama,-34.6833,150.8667,54.25,72,100,1.01,AU,2021-06-01 16:07:19
159,Nabire,-3.3667,135.4833,77.7,91,100,2.57,ID,2021-06-01 16:07:20
