City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Sao Filipe,CV,14.8961,-24.4956,77.2,65,100,8.86,overcast clouds
334,Timizart,DZ,36.8,4.2667,65.44,96,95,8.05,overcast clouds
335,Palana,RU,59.1167,159.9667,43.83,88,100,10.58,overcast clouds
336,Walvis Bay,NA,-22.9575,14.5053,78.1,20,0,25.46,clear sky
337,Nizhniy Tsasuchey,RU,50.5167,115.1333,75.38,24,0,10.94,clear sky
338,Sokoni,TZ,-6.4333,39.55,77.97,76,12,23.38,light rain
339,Xinxiang,CN,35.3089,113.8672,88.52,25,0,2.75,clear sky
340,Faya,SA,18.3851,42.4509,66.72,61,0,0.45,clear sky
341,Talara,PE,-4.5772,-81.2719,67.37,86,100,13.58,overcast clouds
342,Beloha,MG,-25.1667,45.05,58.01,80,0,6.04,clear sky
343,San Quintin,MX,30.4833,-115.95,64.98,71,2,9.62,clear sky
344,San Cristobal,VE,7.7669,-72.225,68.18,99,100,2.86,overcast clouds
345,Chagoda,RU,59.164,35.3285,52.72,75,3,1.05,clear sky
346,Buraydah,SA,26.326,43.975,88.25,13,5,10.25,clear sky
347,Troitskoye,RU,52.9821,84.6757,48.88,81,98,7.83,overcast clouds
